iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
156,500,7716864,4236.0,83.93,1.2633,0.1567,639.0,11.6,1778
157,500,7766016,4249.0,81.1,1.2587,0.179,639.9584,11.57,1790
158,500,7815168,4240.0,86.84,1.2584,0.1465,640.0,11.59,1801
159,500,7864320,4229.0,83.89,1.2579,0.0692,640.875,11.62,1813
160,500,7913472,4233.0,82.47,1.234,0.0895,641.0,11.61,1825
161,500,7962624,4225.0,82.48,1.2624,0.1261,642.1667,11.63,1836
162,500,8011776,4230.0,87.83,1.2365,0.0732,643.5417,11.62,1848
163,500,8060928,4227.0,85.75,1.2131,0.057,644.0,11.63,1859
164,500,8110080,4221.0,84.87,1.215,0.2096,644.0834,11.64,1871
165,500,8159232,4234.0,80.54,1.2282,0.1648,646.625,11.61,1883
166,500,8208384,4215.0,81.23,1.2615,0.1404,648.125,11.66,1894
167,500,8257536,4214.0,81.98,1.2362,0.1648,651.5,11.66,1906
168,500,8306688,4223.0,84.14,1.2409,0.1668,652.2917,11.64,1918
169,500,8355840,4230.0,89.23,1.2371,0.1526,653.0417,11.62,1929
170,500,8404992,4229.0,87.27,1.214,0.0773,654.625,11.62,1941
171,500,8454144,4238.0,88.58,1.1971,0.1383,655.7917,11.6,1953
172,500,8503296,4240.0,87.7,1.1699,0.057,656.0,11.59,1964
173,500,8552448,4241.0,87.16,1.141,0.1689,656.5834,11.59,1976
174,500,8601600,4243.0,81.69,1.1483,0.0875,658.4584,11.58,1987
175,500,8650752,4230.0,86.05,1.158,0.1689,660.25,11.62,1999
176,500,8699904,4244.0,84.73,1.1972,0.0895,662.9584,11.58,2010
177,500,8749056,4247.0,85.81,1.1985,0.1078,664.0,11.57,2022
178,500,8798208,4257.0,89.7,1.1731,0.1872,664.0,11.54,2034
179,500,8847360,4255.0,86.21,1.1716,0.1404,664.0,11.55,2045
180,500,8896512,4247.0,85.18,1.1434,0.1363,664.0,11.57,2057
181,500,8945664,4253.0,88.17,1.1143,0.116,664.0,11.56,2068
182,500,8994816,4252.0,90.12,1.1173,0.1546,664.0,11.56,2080
183,500,9043968,4249.0,86.5,1.1183,0.1811,665.0,11.57,2091
184,500,9093120,4251.0,85.25,1.1387,0.1261,666.0,11.56,2103
185,500,9142272,4244.0,88.61,1.1545,0.2055,666.2084,11.58,2115
186,500,9191424,4257.0,86.61,1.1598,0.1689,667.0,11.54,2126
187,500,9240576,4253.0,94.63,1.1333,0.0773,667.0,11.56,2138
188,500,9289728,4253.0,88.72,1.1359,0.1811,667.0,11.56,2149
189,500,9338880,4252.0,93.52,1.1648,0.2197,667.9167,11.56,2161
190,500,9388032,4251.0,92.62,1.1481,0.1567,670.4584,11.56,2172
191,500,9437184,4254.0,94.06,1.1257,0.2177,672.7917,11.55,2184
192,500,9486336,4261.0,90.47,1.1234,0.2889,674.5,11.54,2195
193,500,9535488,4256.0,92.94,1.1081,0.2991,675.5834,11.55,2207
194,500,9584640,4248.0,88.76,1.1536,0.2625,677.9167,11.57,2219
195,500,9633792,4247.0,91.54,1.1536,0.1119,679.2084,11.57,2230
196,500,9682944,4243.0,88.11,1.1434,0.0956,680.375,11.58,2242
197,500,9732096,4248.0,89.97,1.1261,0.2075,681.9584,11.57,2253
198,500,9781248,4247.0,84.45,1.1148,0.2238,682.5834,11.57,2265
199,500,9830400,4235.0,86.56,1.0891,0.234,684.0417,11.6,2276
200,500,9879552,4254.0,84.16,1.0355,0.236,685.8334,11.55,2288
201,500,9928704,4247.0,94.51,1.0068,0.2319,687.0,11.57,2300
202,500,9977856,4256.0,90.25,1.0565,0.3296,687.0,11.55,2311
203,500,10027008,4250.0,94.12,1.0856,0.1668,687.875,11.56,2323
204,500,10076160,4248.0,89.17,1.123,0.1811,690.5,11.57,2334
205,500,10125312,4246.0,92.1,1.1345,0.2401,693.4584,11.57,2346
206,500,10174464,4248.0,90.89,1.1164,0.3011,696.9584,11.57,2357
